"province_country","day_100","Confirmed"
"Sao Paulo, Brazil",102,803404
"Texas, US",166,629570
"Argentina",164,417735
"South Africa",166,627041
"Andhra Pradesh, India",82,434771
"California, US",174,712475
"Florida, US",169,623471
"Maharashtra, India",82,792541
"Sao Paulo, Brazil",103,804342
"Texas, US",167,632739
"Argentina",165,428239
"South Africa",167,628259
"Andhra Pradesh, India",83,445139
"California, US",175,715617
"Florida, US",170,631040
"Maharashtra, India",83,808306
"Sao Paulo, Brazil",104,814375
"Texas, US",168,637721
"Argentina",166,439172
"South Africa",168,630595
"Andhra Pradesh, India",84,455531
"California, US",176,721281
"Florida, US",171,633442
"Maharashtra, India",84,825739
"Sao Paulo, Brazil",105,826331
"Texas, US",169,641855
"Argentina",167,451198
"South Africa",169,633015
"Andhra Pradesh, India",85,465730
"California, US",177,726018
"Florida, US",172,637013
"Maharashtra, India",85,843844
"Sao Paulo, Brazil",106,837978
"Texas, US",170,645422
"Argentina",168,461882
"South Africa",170,635078
"Andhra Pradesh, India",86,476506
"California, US",178,730662
"Florida, US",173,640211
"Maharashtra, India",86,863062
"Sao Paulo, Brazil",107,845016
"Texas, US",171,651350
"Argentina",169,471806
"South Africa",171,636884
"Andhra Pradesh, India",87,487331
"California, US",179,735314
"Florida, US",174,643867
"Maharashtra, India",87,883862
"Sao Paulo, Brazil",108,853085
"Texas, US",172,655815
"Argentina",170,478792
"South Africa",172,638517
"Andhra Pradesh, India",88,498125
"California, US",180,738856
"Florida, US",175,646431
"Maharashtra, India",88,907212
"Sao Paulo, Brazil",109,855722
"Texas, US",173,658202
"Argentina",171,488007
"South Africa",173,639362
"Andhra Pradesh, India",89,506493
"California, US",181,740965
"Florida, US",176,648269
"Maharashtra, India",89,923641
"Sao Paulo, Brazil",110,857330
"Texas, US",174,659041
"Argentina",172,500034
"South Africa",174,640441
"Andhra Pradesh, India",90,517094
"California, US",182,744344
"Florida, US",177,650092
"Maharashtra, India",90,943772
"Sao Paulo, Brazil",111,858783
"Texas, US",175,662427
"Argentina",173,512293
"South Africa",175,642431
"Andhra Pradesh, India",91,527512
"California, US",183,747290
"Florida, US",178,652259
"Maharashtra, India",91,967349
"Sao Paulo, Brazil",112,866576
"Texas, US",176,667500
"Argentina",174,524198
"South Africa",176,644438
"Andhra Pradesh, India",92,537687
"California, US",184,750961
"Florida, US",179,654731
"Maharashtra, India",92,990795
"Sao Paulo, Brazil",113,874754
"Texas, US",177,669592
"Argentina",175,535705
"South Africa",177,646398
"Andhra Pradesh, India",93,547686
"California, US",185,754905
"Florida, US",180,658381
"Maharashtra, India",93,1015681
"Sao Paulo, Brazil",114,882809
"Texas, US",178,675034
"Argentina",176,546481
"South Africa",178,648214
"Andhra Pradesh, India",94,557587
"California, US",186,758933
"Florida, US",181,661571
"Maharashtra, India",94,1037765
"Sao Paulo, Brazil",115,890690
"Texas, US",179,677716
"Argentina",177,555537
"South Africa",179,649793
"Andhra Pradesh, India",95,557587
"California, US",187,761728
"Florida, US",182,663994
"Maharashtra, India",95,1037765
"Sao Paulo, Brazil",116,892257
"Texas, US",180,681885
"Argentina",178,565446
"South Africa",180,650749
"Andhra Pradesh, India",96,567123
"California, US",188,765134
"Florida, US",183,665730
"Maharashtra, India",96,1060308
"Sao Paulo, Brazil",117,893349
"Texas, US",181,685748
"Argentina",179,577338
"South Africa",181,651521
"Andhra Pradesh, India",97,583925
"California, US",189,768204
"Florida, US",184,668846
"Maharashtra, India",97,1097856
"Sao Paulo, Brazil",118,901271
"Texas, US",182,692753
"Argentina",180,589012
"South Africa",182,653444
"Andhra Pradesh, India",98,583925
"California, US",190,771321
"Florida, US",185,671201
"Maharashtra, India",98,1097856
"Sao Paulo, Brazil",119,909428
"Texas, US",183,696807
"Argentina",181,601713
"South Africa",183,655572
"Andhra Pradesh, India",99,592760
"California, US",191,775037
"Florida, US",186,674456
"Maharashtra, India",99,1121221
"Sao Paulo, Brazil",120,916821
"Texas, US",184,701350
"Argentina",182,613658
"South Africa",184,657627
"Andhra Pradesh, India",100,601462
"California, US",192,779491
"Florida, US",187,677660
"Maharashtra, India",100,1145840
"Sao Paulo, Brazil",121,924532
"Texas, US",185,704563
"Argentina",183,622934
"South Africa",185,659656
"Andhra Pradesh, India",101,609558
"California, US",193,783313
"Florida, US",188,681233
"Maharashtra, India",101,1167496
"Sao Paulo, Brazil",122,931673
"Texas, US",186,707940
"Argentina",184,631365
"South Africa",186,661211
"Andhra Pradesh, India",102,617776
"California, US",194,786168
"Florida, US",189,683754
"Maharashtra, India",102,1188015
"Sao Paulo, Brazil",123,935300
"Texas, US",187,713007
"Argentina",185,640147
"South Africa",187,661936
"Andhra Pradesh, India",103,625514
"California, US",195,790096
"Florida, US",190,685439
"Maharashtra, India",103,1208642
"Sao Paulo, Brazil",124,937332
"Texas, US",188,734778
"Argentina",186,652174
"South Africa",188,663282
"Andhra Pradesh, India",104,631749
"California, US",196,793065
"Florida, US",191,687909
"Maharashtra, India",104,1224380
"Sao Paulo, Brazil",125,945422
"Texas, US",189,741663
"Argentina",187,664799
"South Africa",189,665188
"Andhra Pradesh, India",105,639302
"California, US",197,796436
"Florida, US",192,690499
"Maharashtra, India",105,1242770
"Sao Paulo, Brazil",126,945422
"Texas, US",190,742913
