"province_country","day_100","Confirmed"
"Florida, US",59,42402
"Texas, US",57,43020
"Argentina",55,7134
"South Africa",57,12739
"California, US",65,74871
"Florida, US",60,43210
"Texas, US",58,44480
"Argentina",56,7479
"South Africa",58,13524
"California, US",66,76693
"Florida, US",61,44138
"Texas, US",59,45721
"Argentina",57,7805
"South Africa",59,14355
"California, US",67,78725
"Florida, US",62,44811
"Texas, US",60,47452
"Argentina",58,8068
"South Africa",60,15515
"California, US",68,80166
"Florida, US",63,45588
"Texas, US",61,48396
"Argentina",59,8371
"South Africa",61,16433
"California, US",69,81457
"Florida, US",64,46442
"Texas, US",62,49177
"Argentina",60,8809
"South Africa",62,17200
"California, US",70,83752
"Florida, US",65,46944
"Texas, US",63,50552
"Argentina",61,9283
"South Africa",63,18003
"California, US",71,85997
"Florida, US",66,47471
"Texas, US",64,51673
"Argentina",62,9931
"South Africa",64,19137
"California, US",72,88031
"Florida, US",67,48675
"Sao Paulo, Brazil",1,73739
"Texas, US",65,53053
"Argentina",63,10649
"South Africa",65,20125
"California, US",73,90252
"Florida, US",68,49451
"Sao Paulo, Brazil",2,76871
"Texas, US",66,53539
"Argentina",64,11353
"South Africa",66,21343
"California, US",74,92539
"Florida, US",69,50127
"Sao Paulo, Brazil",3,80558
"Texas, US",67,54776
"Argentina",65,12076
"South Africa",67,22583
"California, US",75,94020
"Florida, US",70,50867
"Sao Paulo, Brazil",4,82161
"Texas, US",68,55861
"Argentina",66,12628
"South Africa",68,23615
"California, US",76,96400
"Florida, US",71,51746
"Sao Paulo, Brazil",5,83625
"Texas, US",69,56409
"Argentina",67,13228
"South Africa",69,24264
"California, US",77,99387
"Florida, US",72,52255
"Sao Paulo, Brazil",6,86017
"Texas, US",70,57230
"Argentina",68,13933
"South Africa",70,25937
"California, US",78,101050
"Florida, US",73,52634
"Sao Paulo, Brazil",7,89483
"Texas, US",71,58542
"Argentina",69,14702
"South Africa",71,27403
"California, US",79,103813
"Florida, US",74,53285
"Sao Paulo, Brazil",8,95865
"Texas, US",72,60395
"Argentina",70,15419
"South Africa",72,29240
"California, US",80,106622
"Florida, US",75,54497
"Sao Paulo, Brazil",9,101556
"Texas, US",73,60901
"Argentina",71,16214
"South Africa",73,30967
"California, US",81,109895
"Florida, US",76,55424
"Sao Paulo, Brazil",10,107142
"Texas, US",74,62675
"Argentina",72,16851
"South Africa",74,32683
"California, US",82,111951
"Florida, US",77,56163
"Sao Paulo, Brazil",11,109698
"Texas, US",75,64652
"Argentina",73,17415
"South Africa",75,34357
"California, US",83,114733
"Florida, US",78,56830
"Sao Paulo, Brazil",12,111296
"Texas, US",76,65593
"Argentina",74,18319
"South Africa",76,35812
"California, US",84,117215
"Florida, US",79,57447
"Sao Paulo, Brazil",13,118295
"Texas, US",77,67310
"Argentina",75,19268
"South Africa",77,37525
"California, US",85,119348
"Florida, US",80,58764
"Sao Paulo, Brazil",14,123483
"Texas, US",78,68877
"Argentina",76,20197
"South Africa",78,40792
"California, US",86,122168
"Florida, US",81,60183
"Sao Paulo, Brazil",15,129200
"Texas, US",79,70555
"Argentina",77,21037
"South Africa",79,43434
"California, US",87,125738
"Florida, US",82,61488
"Sao Paulo, Brazil",16,134565
"Texas, US",80,72548
"Argentina",78,22020
"South Africa",80,45973
"California, US",88,128593
"Florida, US",83,62758
"Sao Paulo, Brazil",17,140549
"Texas, US",81,74470
"Argentina",79,22794
"South Africa",81,48285
"California, US",89,130615
"Florida, US",84,63938
"Sao Paulo, Brazil",18,143073
"Texas, US",82,75408
"Argentina",80,23620
"South Africa",82,50879
"California, US",90,133816
"Florida, US",85,64904
"Sao Paulo, Brazil",19,144593
"Texas, US",83,76463
"Argentina",81,24761
"South Africa",83,52991
"California, US",91,136641
"Florida, US",86,66000
"Sao Paulo, Brazil",20,150138
"Texas, US",84,78208
"Argentina",82,25987
"South Africa",84,55421
"California, US",92,139715
"Florida, US",87,67371
"Sao Paulo, Brazil",21,156316
"Texas, US",85,80777
"Argentina",83,27373
"South Africa",85,58568
"Andhra Pradesh, India",1,5429
"California, US",93,143377
"Florida, US",88,69069
"Maharashtra, India",1,97648
"Sao Paulo, Brazil",22,162520
"Texas, US",86,82658
"Argentina",84,28764
"South Africa",86,61927
"Andhra Pradesh, India",2,5429
"California, US",94,146659
"Florida, US",89,70971
"Maharashtra, India",2,97648
"Sao Paulo, Brazil",23,167900
"Texas, US",87,84927
"Argentina",85,30295
"South Africa",87,65736
"Andhra Pradesh, India",3,5680
"California, US",95,150018
"Florida, US",90,73552
"Maharashtra, India",3,101141
"Sao Paulo, Brazil",24,172875
"Texas, US",88,86915
"Argentina",86,31577
"South Africa",88,70038
"Andhra Pradesh, India",4,5965
"California, US",96,152300
"Florida, US",91,75568
"Maharashtra, India",4,104568
"Sao Paulo, Brazil",25,178202
"Texas, US",89,88523
"Argentina",87,32785
"South Africa",89,73533
"Andhra Pradesh, India",5,6456
"California, US",97,155726
"Florida, US",92,77326
"Maharashtra, India",5,110744
"Sao Paulo, Brazil",26,181460
